experiment,epochs,lr,optim,rank,alpha,dropout,target_modules,status,global_step,final_epoch,best_eval_step,best_eval_epoch,best_eval_loss,best_eval_token_accuracy,train_loss_at_best_eval,train_token_accuracy_at_best_eval,last_train_step,last_train_loss,last_train_token_accuracy,state_path
lr5e-5_adamw_all_r16_e6,6.0,5e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,144,6.0,140,5.862533692722372,0.31939342617988586,0.9143692749738693,0.35976946353912354,0.9120264176279307,140,0.35976946353912354,0.9120264176279307,checkpoints/lora_training_sweep_compact_post_v1/lr5e-5_adamw_all_r16_e6/checkpoint-144/trainer_state.json
lr5e-5_adamw_all_r16_e4,4.0,5e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,96,4.0,96,4.0,0.34158042073249817,0.9101261585950852,0.4103560447692871,0.9020840182900429,90,0.4103560447692871,0.9020840182900429,checkpoints/lora_training_sweep_compact_post_v1/lr5e-5_adamw_all_r16_e4/checkpoint-96/trainer_state.json
lr5e-5_adamw_all_r16_e2,2.0,5e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,48,2.0,48,2.0,0.7513969540596008,0.8300455558300018,1.0428037643432617,0.7572350230067968,40,1.0428037643432617,0.7572350230067968,checkpoints/lora_training_sweep_compact_post_v1/lr5e-5_adamw_all_r16_e2/checkpoint-48/trainer_state.json
lr5e-5_adamw_attention_r16_e2,2.0,5e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj,done,48,2.0,48,2.0,1.6880933046340942,0.5995230615139008,1.7996381759643554,0.5835709735751152,40,1.7996381759643554,0.5835709735751152,checkpoints/lora_training_sweep_compact_post_v1/lr5e-5_adamw_attention_r16_e2/checkpoint-48/trainer_state.json
lr2e-5_adamw_all_r16_e1,1.0,2e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,24,1.0,24,1.0,2.6565301418304443,0.4929695278406143,2.6571752548217775,0.4926281630992889,20,2.6571752548217775,0.4926281630992889,checkpoints/lora_training_sweep_compact_post_v1/lr2e-5_adamw_all_r16_e1/checkpoint-24/trainer_state.json
lr1e-5_adamw_all_r16_e2,2.0,1e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,48,2.0,48,2.0,2.617384910583496,0.4951724788546562,2.5772678375244142,0.4987852545455098,40,2.5772678375244142,0.4987852545455098,checkpoints/lora_training_sweep_compact_post_v1/lr1e-5_adamw_all_r16_e2/checkpoint-48/trainer_state.json
lr2e-5_adamw_all_r8_e2,2.0,2e-05,adamw_torch,8,16,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,48,2.0,48,2.0,2.4899823665618896,0.5050436326861382,2.477461242675781,0.5046842660754919,40,2.477461242675781,0.5046842660754919,checkpoints/lora_training_sweep_compact_post_v1/lr2e-5_adamw_all_r8_e2/checkpoint-48/trainer_state.json
lr2e-5_adamw_attention_r16_e2,2.0,2e-05,adamw_torch,16,32,0.05,q_proj k_proj v_proj o_proj,done,48,2.0,48,2.0,2.505065441131592,0.5040886279940605,2.4775508880615233,0.5047066029161215,40,2.4775508880615233,0.5047066029161215,checkpoints/lora_training_sweep_compact_post_v1/lr2e-5_adamw_attention_r16_e2/checkpoint-48/trainer_state.json
lr2e-5_adamw_mlp_r16_e2,2.0,2e-05,adamw_torch,16,32,0.05,gate_proj up_proj down_proj,done,48,2.0,48,2.0,2.361318826675415,0.5149355286359787,2.3697023391723633,0.5151234628632665,40,2.3697023391723633,0.5151234628632665,checkpoints/lora_training_sweep_compact_post_v1/lr2e-5_adamw_mlp_r16_e2/checkpoint-48/trainer_state.json
lr2e-5_adafactor_all_r16_e1,1.0,2e-05,adafactor,16,32,0.05,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,done,24,1.0,24,1.0,2.5603456497192383,0.5038544201850891,2.5971036911010743,0.5002304442226887,20,2.5971036911010743,0.5002304442226887,checkpoints/lora_training_sweep_compact_post_v1/lr2e-5_adafactor_all_r16_e1/checkpoint-24/trainer_state.json
